# Scene 2 Implementation Plan

<SCENE_VISION_STORYBOARD_AND_TECHNICAL_PLAN>

[图示主题与整合说明]
- 本图示主题：三种黑青毛突变体的染色体组成、配子形成及杂交鉴定
- 整合的步骤/概念：
  1) 图2三种突变体染色体组成并排对比（步骤0）
  2) 实验设计展示——待鉴定突变体（aaBbCcc）与纯种棕色猪（aaBBcc）杂交（步骤1）
  3) 突变体甲（C/c/c）减数分裂随机分离 → 配子1:2:2:1 → 子代黑色:黑青色:棕色=1:2:3（步骤2）
  4) 突变体乙（Cc/c）减数分裂分离 → 配子1:1 → 子代黑青色:棕色=1:1（步骤3）
  5) 突变体丙（C/cc）减数分裂分离 → 配子1:1 → 子代黑色:棕色=1:1（步骤4）
  6) 三种突变体杂交结果汇总对比表（步骤5）
- 教学价值：教师可按照"认识染色体组成差异→理解减数分裂行为→推导配子比例→预测杂交结果→汇总对比"的完整认知链条逐步展开讲解。分步导航使教师能控制信息呈现节奏，三种突变体的并列对比帮助学生抓住鉴定依据的核心差异（子代表现型种类及比例）。

[布局坐标表]
画布尺寸：800×500px。分区：标题区y=0~60，主图区y=60~430，控件区y=440~490。

| 元素 | 类型 | 位置/范围 | 大小 | 标签偏移方向 | 备注 |
| 左栏染色体1 | rect(rx=3) | (90, 150) | 10×120 | - | 标C |
| 左栏染色体2 | rect(rx=3) | (120, 150) | 10×120 | - | 标c |
| 左栏染色体3 | rect(rx=3) | (150, 150) | 10×120 | - | 标c |
| 左栏C标记 | circle | (95, 142) | r=4 | 上方 | #1565c0 |
| 左栏c1标记 | circle | (125, 142) | r=4 | 上方 | #888888 |
| 左栏c2标记 | circle | (155, 142) | r=4 | 上方 | #888888 |
| 纺锤丝上1 | line | (95,150)→(95,105) | - | - | #888888虚线 |
| 纺锤丝上2 | line | (125,150)→(125,105) | - | - | #888888虚线 |
| 纺锤丝上3 | line | (155,150)→(155,105) | - | - | #888888虚线 |
| 纺锤丝下1 | line | (95,270)→(95,315) | - | - | #888888虚线 |
| 纺锤丝下2 | line | (125,270)→(125,315) | - | - | #888888虚线 |
| 纺锤丝下3 | line | (155,270)→(155,315) | - | - | #888888虚线 |
| 左栏标签 | text | (140, 345) | ~140×14 | 细胞框下方 | "三条染色体随机分离" |
| 配子椭圆C | ellipse | (330, 155) | rx=35,ry=25 | - | 填充#e3f2fd透明度30%，边框#1565c0 |
| 配子椭圆c | ellipse | (430, 155) | rx=35,ry=25 | - | 同上 |
| 配子椭圆Cc | ellipse | (330, 255) | rx=35,ry=25 | - | 同上 |
| 配子椭圆cc | ellipse | (430, 255) | rx=35,ry=25 | - | 同上 |
| 配子文字C | text | (330, 160) | ~12×14 | 椭圆中心 | "C" |
| 配子文字c | text | (430, 160) | ~10×14 | 椭圆中心 | "c" |
| 配子文字Cc | text | (330, 260) | ~20×14 | 椭圆中心 | "Cc" |
| 配子文字cc | text | (430, 260) | ~20×14 | 椭圆中心 | "cc" |
| 比例数1 | text | (330, 195) | ~8×14 | 椭圆下方 | "1" |
| 比例数2a | text | (430, 195) | ~8×14 | 椭圆下方 | "2" |
| 比例数2b | text | (330, 295) | ~8×14 | 椭圆下方 | "2" |
| 比例数1b | text | (430, 295) | ~8×14 | 椭圆下方 | "1" |
| 配子总比例 | text | (380, 330) | ~100×14 | 中栏底部 | "配子比例 1:2:2:1" |
| 子代色块黑 | rect | (530, 145) | 50×30 | - | 填充#000000透明度15%，边框#000000 |
| 子代色块黑青 | rect | (530, 215) | 50×30 | - | 填充#c62828透明度15%，边框#c62828 |
| 子代色块棕 | rect | (530, 285) | 50×30 | - | 填充#8d6e63透明度20%，边框#8d6e63 |
| 子代文字黑色 | text | (595, 155) | ~40×14 | 色块右侧 | "黑色" |
| 子代文字黑青 | text | (595, 225) | ~50×14 | 色块右侧 | "黑青色" |
| 子代文字棕色 | text | (595, 295) | ~40×14 | 色块右侧 | "棕色" |
| 子代基因型Cc | text | (595, 175) | ~24×12 | 表现型下方 | "Cc" |
| 子代基因型Ccc | text | (595, 245) | ~30×12 | 表现型下方 | "Ccc" |
| 子代基因型cc | text | (595, 315) | ~40×12 | 表现型下方 | "cc, ccc" |
| 子代比例1 | text | (680, 165) | ~24×14 | 基因型右侧 | "1/6" |
| 子代比例2 | text | (680, 235) | ~24×14 | 基因型右侧 | "2/6" |
| 子代比例3 | text | (680, 305) | ~24×14 | 基因型右侧 | "3/6" |
| 子代总比例 | text | (640, 365) | ~180×14 | 右栏底部 | "黑色:黑青色:棕色 = 1:2:3" |

步骤3——突变体乙详细分析：
| 元素 | 类型 | 位置/范围 | 大小 | 标签偏移方向 | 备注 |
|------|------|-----------|------|-------------|------|
| 左栏细胞框 | rect | (50, 100) | 180×220 | - | 减数分裂示意 |
| 左栏染色体1 | rect(rx=3) | (100, 150) | 10×120 | - | C-c连锁 |
| 左栏染色体2 | rect(rx=3) | (140, 150) | 10×120 | - | 标c |
| 左栏C标记 | circle | (105, 175) | r=4 | 内部偏上 | #1565c0 |
| 左栏c标记内 | circle | (105, 245) | r=4 | 内部偏下 | #888888 |
| 左栏c标记上 | circle | (145, 142) | r=4 | 上方 | #888888 |
| 纺锤丝（上） | line | (100,150)→(100,105) | - | - | #888888虚线 |
| 纺锤丝（上2） | line | (140,150)→(140,105) | - | - | #888888虚线 |
| 纺锤丝（下） | line | (100,270)→(100,315) | - | - | #888888虚线 |
| 纺锤丝（下2） | line | (140,270)→(140,315) | - | - | #888888虚线 |
| 左栏标签 | text | (140, 345) | ~120×14 | 细胞框下方 | "两条染色体分离" |
| 配子椭圆Cc | ellipse | (350, 170) | rx=40,ry=30 | - | 填充#e3f2fd透明度30% |
| 配子椭圆c | ellipse | (350, 270) | rx=40,ry=30 | - | 同上 |
| 配子文字Cc | text | (350, 175) | ~24×14 | 椭圆中心 | "Cc" |
| 配子文字c | text | (350, 275) | ~10×14 | 椭圆中心 | "c" |
| 比例数1a | text | (350, 210) | ~8×14 | 椭圆下方 | "1" |
| 比例数1b | text | (350, 310) | ~8×14 | 椭圆下方 | "1" |
| 配子总比例 | text | (380, 340) | ~80×14 | 中栏底部 | "配子比例 1:1" |
| 子代色块黑青 | rect | (530, 180) | 50×30 | - | 填充#c62828透明度15% |
| 子代色块棕 | rect | (530, 280) | 50×30 | - | 填充#8d6e63透明度20% |
| 子代文字黑青 | text | (595, 190) | ~50×14 | 色块右侧 | "黑青色" |
| 子代文字棕色 | text | (595, 290) | ~40×14 | 色块右侧 | "棕色" |
| 子代基因型Ccc | text | (595, 210) | ~30×12 | 表现型下方 | "Ccc" |
| 子代基因型cc | text | (595, 310) | ~24×12 | 表现型下方 | "cc" |
| 子代比例1a | text | (680, 200) | ~24×14 | 基因型右侧 | "1/2" |
| 子代比例1b | text | (680, 300) | ~24×14 | 基因型右侧 | "1/2" |
| 子代总比例 | text | (640, 365) | ~140×14 | 右栏底部 | "黑青色:棕色 = 1:1" |

步骤4——突变体丙详细分析：
| 元素 | 类型 | 位置/范围 | 大小 | 标签偏移方向 | 备注 |
|------|------|-----------|------|-------------|------|
| 左栏细胞框 | rect | (50, 100) | 180×220 | - | 减数分裂示意 |
| 左栏染色体1 | rect(rx=3) | (100, 150) | 10×120 | - | 标C |
| 左栏染色体2 | rect(rx=3) | (140, 150) | 10×120 | - | c-c连锁 |
| 左栏C标记 | circle | (105, 142) | r=4 | 上方 | #1565c0 |
| 左栏c1标记 | circle | (145, 175) | r=4 | 内部偏上 | #888888 |
| 左栏c2标记 | circle | (145, 245) | r=4 | 内部偏下 | #888888 |
| 纺锤丝（上） | line | (100,150)→(100,105) | - | - | #888888虚线 |
| 纺锤丝（上2） | line | (140,150)→(140,105) | - | - | #888888虚线 |
| 纺锤丝（下） | line | (100,270)→(100,315) | - | - | #888888虚线 |
| 纺锤丝（下2） | line | (140,270)→(140,315) | - | - | #888888虚线 |
| 左栏标签 | text | (140, 345) | ~120×14 | 细胞框下方 | "两条染色体分离" |
| 配子椭圆C | ellipse | (350, 170) | rx=40,ry=30 | - | 填充#e3f2fd透明度30% |
| 配子椭圆cc | ellipse | (350, 270) | rx=40,ry=30 | - | 同上 |
| 配子文字C | text | (350, 175) | ~12×14 | 椭圆中心 | "C" |
| 配子文字cc | text | (350, 275) | ~20×14 | 椭圆中心 | "cc" |
| 比例数1a | text | (350, 210) | ~8×14 | 椭圆下方 | "1" |
| 比例数1b | text | (350, 310) | ~8×14 | 椭圆下方 | "1" |
| 配子总比例 | text | (380, 340) | ~80×14 | 中栏底部 | "配子比例 1:1" |
| 子代色块黑 | rect | (530, 180) | 50×30 | - | 填充#000000透明度15% |
| 子代色块棕 | rect | (530, 280) | 50×30 | - | 填充#8d6e63透明度20% |
| 子代文字黑色 | text | (595, 190) | ~40×14 | 色块右侧 | "黑色" |
| 子代文字棕色 | text | (595, 290) | ~40×14 | 色块右侧 | "棕色" |
| 子代基因型Cc | text | (595, 210) | ~24×12 | 表现型下方 | "Cc" |
| 子代基因型ccc | text | (595, 310) | ~30×12 | 表现型下方 | "ccc" |
| 子代比例1a | text | (680, 200) | ~24×14 | 基因型右侧 | "1/2" |
| 子代比例1b | text | (680, 300) | ~24×14 | 基因型右侧 | "1/2" |
| 子代总比例 | text | (640, 365) | ~120×14 | 右栏底部 | "黑色:棕色 = 1:1" |

步骤5——结果汇总对比表：
| 元素 | 类型 | 位置/范围 | 大小 | 标签偏移方向 | 备注 |
|------|------|-----------|------|-------------|------|
| 汇总表格外框 | rect | (100, 100) | 600×280 | - | 边框#000000线宽1.5px |
| 表头行底边 | line | (100,140)→(700,140) | - | - | #888888线宽1px |
| 行1底边 | line | (100,220)→(700,220) | - | - | #888888线宽1px |
| 行2底边 | line | (100,300)→(700,300) | - | - | #888888线宽1px |
| 行3底边 | line | (100,380)→(700,380) | - | - | #888888线宽1px |
| 列分隔1 | line | (220,100)→(220,380) | - | - | #888888线宽1px |
| 列分隔2 | line | (380,100)→(380,380) | - | - | #888888线宽1px |
| 列分隔3 | line | (580,100)→(580,380) | - | - | #888888线宽1px |
| 表头背景 | rect | (100, 100) | 600×40 | - | 填充#e3f2fd |
| 表头文字1 | text | (160, 125) | ~50×14 | 单元格居中 | "突变体" |
| 表头文字2 | text | (300, 125) | ~90×14 | 单元格居中 | "配子（比例）" |
| 表头文字3 | text | (480, 125) | ~130×14 | 单元格居中 | "子代表现型及比例" |
| 表头文字4 | text | (640, 125) | ~70×14 | 单元格居中 | "鉴定依据" |
| 行1文字1 | text | (160, 180) | ~80×14 | 单元格居中 | "甲（C/c/c）" |
| 行1文字2 | text | (300, 170) | ~100×28 | 单元格居中 | "C:c:Cc:cc\n(1:2:2:1)" |
| 行1文字3 | text | (480, 170) | ~130×28 | 单元格居中 | "黑色:黑青色:棕色\n= 1:2:3" |
| 行1文字4 | text | (640, 180) | ~70×14 | 单元格居中 | "三种表现型" |
| 行2文字1 | text | (160, 260) | ~70×14 | 单元格居中 | "乙（Cc/c）" |
| 行2文字2 | text | (300, 250) | ~70×28 | 单元格居中 | "Cc:c\n(1:1)" |
| 行2文字3 | text | (480, 250) | ~110×28 | 单元格居中 | "黑青色:棕色\n= 1:1" |
| 行2文字4 | text | (640, 260) | ~60×14 | 单元格居中 | "无黑色" |
| 行3文字1 | text | (160, 340) | ~70×14 | 单元格居中 | "丙（C/cc）" |
| 行3文字2 | text | (300, 330) | ~70×28 | 单元格居中 | "C:cc\n(1:1)" |
| 行3文字3 | text | (480, 330) | ~90×28 | 单元格居中 | "黑色:棕色\n= 1:1" |
| 行3文字4 | text | (640, 340) | ~70×14 | 单元格居中 | "无黑青色" |

[视觉元素清单]
- 染色体：竖直棒状圆角矩形（rx=3, ry=3），轮廓线#1565c0线宽2.5px，内部填充#ffffff。长度120px，宽度10px。
- 基因圆点：C基因用蓝色圆点填充#1565c0（r=4px），c基因用灰色圆点填充#888888（r=4px）。位于染色体顶部上方或内部。
- 细胞轮廓：矩形方框，边框#000000线宽1.5px，无填充或极浅填充。
- 纺锤丝：#888888虚线（stroke-dasharray="4,3"），从染色体端点向细胞两极延伸。
- 配子：椭圆形，填充#e3f2fd透明度30%，边框#1565c0线宽1.5px。内部标注基因型文字#000000。
- 子代表现型色块：小矩形50×30px，黑色填充#000000透明度15%边框#000000，棕色填充#8d6e63透明度20%边框#8d6e63，黑青色填充#c62828透明度15%边框#c62828。
- 汇总表格：外边框#000000线宽1.5px，内部线条#888888线宽1px，表头背景#e3f2fd。
- 亲本框：待鉴定突变体边框#c62828线宽2px，纯种棕色猪边框#2e7d32线宽2px。
- 文字标签：统一使用无衬线字体（font-family: "Microsoft YaHei", sans-serif），标题16px加粗，正文14px常规，比例/基因型12px。
- 配色沿用规格：背景#ffffff，主线#000000，蓝高亮#1565c0，红高亮#c62828，绿高亮#2e7d32，辅助线#888888。

[分步序列]
- 初始状态（步骤0）：显示三种突变体染色体组成并排对比。三个方框内分别展示突变体甲（三条染色体C/c/c）、突变体乙（两条染色体Cc/c）、突变体丙（两条染色体C/cc）。方框上方标注突变体类型，下方标注染色体组成特点。教师可在此步引导学生观察三种突变体在染色体水平上的差异。
- 步骤1：点击「下一步」→ 切换到实验设计界面。左侧显示待鉴定突变体亲本框（aaBbCcc，红边框），内部示意Ccc染色体组成；右侧显示纯种棕色猪亲本框（aaBBcc，绿边框），内部示意cc染色体组成；中间显示杂交符号×、向下箭头及"观察子代表现型及比例"说明。教师可在此步讲解实验设计思路。
- 步骤2：点击「下一步」→ 切换到突变体甲详细分析。左栏展示三条染色体减数分裂随机分离示意（含纺锤丝），中栏展示四种配子C、c、Cc、cc及比例1:2:2:1，右栏展示与棕色猪杂交后的子代表现型及比例（黑色1/6、黑青色2/6、棕色3/6），底部总结"黑色:黑青色:棕色 = 1:2:3"。教师可在此步推导随机分离的数学原理。
- 步骤3：点击「下一步」→ 切换到突变体乙详细分析。左栏展示两条染色体分离示意（C-c连锁染色体与c染色体），中栏展示两种配子Cc、c及比例1:1，右栏展示子代表现型及比例（黑青色1/2、棕色1/2），底部总结"黑青色:棕色 = 1:1"。教师可在此步强调连锁关系对配子类型的限制。
- 步骤4：点击「下一步」→ 切换到突变体丙详细分析。左栏展示两条染色体分离示意（C染色体与cc连锁染色体），中栏展示两种配子C、cc及比例1:1，右栏展示子代表现型及比例（黑色1/2、棕色1/2），底部总结"黑色:棕色 = 1:1"。教师可在此步与突变体乙形成对比。
- 步骤5（最终步骤）：点击「下一步」→ 切换到结果汇总对比表。表格4列（突变体、配子比例、子代表现型及比例、鉴定依据），3行数据分别列出甲、乙、丙的结果。教师可在此步引导学生总结三种突变体的核心鉴别点：甲有三种表现型且比例为1:2:3，乙有两种表现型（无黑色）比例为1:1，丙有两种表现型（无黑青色）比例为1:1。
- 教师可随时点击「上一步」回退到任意步骤复习。

[标签冲突检查]
步骤0标签坐标及检查：
- "突变体甲"：(150, 85)；"突变体乙"：(400, 85)；"突变体丙"：(650, 85)。两两水平间距250px，无冲突。
- C甲1圆点：(95, 142)；c甲2圆点：(125, 142)；c甲3圆点：(155, 142)。水平间距30px，无冲突。
- C乙圆点：(375, 175)；c乙内圆点：(375, 245)；c乙2圆点：(435, 142)。C乙与c乙内同x间距70px，C乙与c乙2距离√(60²+33²)≈68px，无冲突。
- C丙圆点：(595, 142)；c丙2a圆点：(655, 175)；c丙2b圆点：(655, 245)。C丙与c丙2a距离√(60²+33²)≈68px，c丙2a与c丙2b同x间距70px，无冲突。
- 底部说明文字y=365，与顶部基因标记最小垂直距离>130px，无冲突。

步骤2标签坐标及检查：
- 左栏C(95,142)、c1(125,142)、c2(155,142)：水平间距30px，无冲突。
- 中栏配子椭圆中心：C(330,155)、c(430,155)、Cc(330,255)、cc(430,255)。水平间距100px，垂直间距100px，无冲突。
- 中栏比例数字：1(330,195)、2(430,195)、2(330,295)、1(430,295)。与对应椭圆垂直间距35~40px，相邻数字水平/垂直间距100px，无冲突。
- 右栏表现型：黑色y=145、黑青色y=215、棕色y=285。色块高度30px，条目间距70px（间隙40px），无冲突。
- 右栏基因型文字：Cc(595,175)、Ccc(595,245)、cc,ccc(595,315)。与对应表现型文字垂直间距20px，相邻基因型垂直间距70px，无冲突。
- 右栏比例：1/6(680,165)、2/6(680,235)、3/6(680,305)。垂直间距70px，无冲突。
- 左栏、中栏、右栏之间最小水平间距：左栏细胞框右边缘x=230，中栏椭圆左边缘x=295，间距65px；中栏椭圆右边缘x=465，右栏色块左边缘x=530，间距65px。无冲突。

步骤3/4标签坐标及检查：
- 左栏基因标记：步骤3中C(105,175)与c内(105,245)同x间距70px，c2(145,142)与C距离√(40²+33²)≈52px；步骤4中C(105,142)与c1(145,175)距离√(40²+33²)≈52px，c1与c2(145,245)同x间距70px。均无冲突。
- 中栏两个配子椭圆中心(350,170)和(350,270)，垂直间距100px，无冲突。
- 右栏两个表现型条目y间距100px（180 vs 280），无冲突。
- 所有步骤标题位于(400,30)，与下方元素最小垂直间距>50px，无冲突。

[交互方案]
- 交互类型：分步按钮导航（◀上一步 / 下一步▶）
- 控件说明：
  1. 「上一步」按钮：位置(300, 450)，宽90×高32。点击后回退到上一个步骤，当前为步骤0时禁用（填充变为#cccccc）。
  2. 「下一步」按钮：位置(410, 450)，宽90×高32。点击后前进到下一个步骤，当前为步骤5时禁用（填充变为#cccccc）。
  3. 步骤指示器：位置(400, 485)，显示"步骤 X / 6"，文字#666666。
- 教师操作流程：
  1. 教师打开图示，首先呈现步骤0，引导学生观察三种突变体的染色体组成差异。
  2. 点击「下一步」进入步骤1，讲解杂交实验设计思路（为什么选择纯种棕色猪作为测交亲本）。
  3. 依次点击「下一步」进入步骤2、3、4，分别推导三种突变体的减数分裂行为、配子类型及比例、子代表现型及比例。每步讲解时可结合左栏（染色体行为）→中栏（配子）→右栏（子代）的逻辑链条。
  4. 进入步骤5汇总表，引导学生对比三种突变体的子代差异，得出鉴定依据。
  5. 讲解过程中可随时点击「上一步」回退复习关键步骤。

[技术实现]
- JS库选择：原生SVG + 原生JavaScript。原因：本场景以静态几何图形和文字标签为主，分步导航仅需显示/隐藏SVG组，无需复杂动画或数据驱动绘图，原生SVG性能最优且无需额外CDN依赖。
- 画布尺寸：800 × 500 px（固定画布，SVG viewBox="0 0 800 500"）。
- 布局草图：
  ```
  [图示区 800×500]
  +--------------------------------------------------+
  |  标题区 (y=0~60)                                  |
  |  主图区 (y=60~430)  ← 各步骤视觉元素在此区域切换   |
  |                                                   |
  |                                                   |
  |                                                   |
  |  控件栏 (y=440~490)  [上一步] [下一步]            |
  +--------------------------------------------------+
  ```
- 关键实现要点：
  1. 状态机设计：使用变量 `currentStep`（范围0~5），每个步骤对应一个SVG `<g>` 组（id="scene2-step0-group" 至 "scene2-step5-group"）。初始化时仅显示步骤0组，其余组设置 `display="none"`。
  2. 步骤切换：点击按钮时，隐藏当前组，显示目标组。可添加CSS过渡效果（opacity 0→1，transition: opacity 0.25s ease-in）实现淡入淡出。
  3. 按钮状态管理：在步骤0时禁用「上一步」（设置disabled属性及#cccccc填充），在步骤5时禁用「下一步」。
  4. 坐标计算：所有坐标已在布局坐标表中精确规划，代码中直接使用绝对坐标（px）绘制，无需动态计算。
  5. 事件绑定：使用 `document.getElementById('scene2-btn-prev').addEventListener('click', ...)` 和 `document.getElementById('scene2-btn-next').addEventListener('click', ...)` 绑定按钮事件。
  6. 表格绘制：步骤5的表格使用SVG `<rect>`、`<line>` 和 `<text>` 组合绘制，表头背景用 `<rect>` 填充#e3f2fd，文字使用 `<tspan>` 实现换行（如"C:c:Cc:cc"和"(1:2:2:1)"分两行）。
  7. 纺锤丝：使用 `<line>` 元素，设置 `stroke="#888888" stroke-dasharray="4,3"`。
  8. 透明度处理：表现型色块和配子椭圆使用 `fill-opacity="0.3"` 或 `fill-opacity="0.15"`，边框保持不透明以维持边界清晰。
- ID命名规范：所有交互元素ID必须以 `scene2-` 为前缀。例如：
  - 步骤组：scene2-step0-group, scene2-step1-group, ..., scene2-step5-group
  - 按钮：scene2-btn-prev, scene2-btn-next
  - 步骤指示器：scene2-step-indicator
  - 各步骤内部元素：scene2-s0-chr1, scene2-s2-gamete-C 等
- IIFE隔离：所有JavaScript代码包裹在 `(function() { ... })();` 中，避免全局命名空间污染，确保多场景合并时互不干扰。

</SCENE_VISION_STORYBOARD_AND_TECHNICAL_PLAN>
