# Scene 1 Implementation Plan

<SCENE_VISION_STORYBOARD_AND_TECHNICAL_PLAN>

[图示主题与整合说明]
- 本图示主题：果蝇刚毛性状遗传——四种假说的推演与F₂验证
- 整合的步骤/概念：
  1. 题目已知条件（P、F₁、F₂表现型及目标比例2:1:1）
  2. 假说一：X染色体显性突变（与F₁全直矛盾，排除）
  3. 假说二：X染色体隐性突变（F₂比例2:1:1，吻合）
  4. 假说三：常染色体显性突变（与F₁全直矛盾，排除）
  5. 假说四：常染色体隐性突变（F₂雌性出现卷刚毛且比例不符，排除）
  6. 结论：假说二成立
- 教学价值：教师通过分步导航，带领学生逐一验证四种假说，在对比中理解"假说-演绎法"的遗传题解题逻辑。可随时回退步骤，强化错误排除的推理过程。

[布局坐标表]
画布尺寸：800×500 px，控件栏内嵌于SVG底部y=440~490区域。

| 元素 | 类型 | 位置/范围 | 大小 | 标签偏移方向 | 备注 |
| 矛盾文本 | text | (175,288) | ~140×14 | - | "与'F₁全直'矛盾！" 红色 |
| 大叉号 | text | (300,330) | ~60×60 | 居中 | "✗" 60px红色 |

步骤2（假说二：X隐性）：
| 元素 | 类型 | 位置/范围 | 大小 | 标签偏移 | 备注 |
| 假说标题 | text | (300,78) | ~220×18 | 居中 | "假说二：X染色体隐性突变" |
| 假说副标题 | text | (300,100) | ~220×14 | 居中 | 12px灰色 |
| P雌框 | rect | (125,120)-(225,158) | 100×38 | - | stroke=#333 |
| P雌基因型 | text | (175,140) | ~50×14 | 框内 | "XᴬXᴬ" 蓝色 |
| P雌表现型 | text | (175,166) | ~40×14 | 框下方 | "直♀" |
| P雄框 | rect | (375,120)-(475,158) | 100×38 | - | stroke=#333 |
| P雄基因型 | text | (425,140) | ~50×14 | 框内 | "XᵃY" 红色 |
| P雄表现型 | text | (425,166) | ~40×14 | 框下方 | "卷♂" 红色 |
| 雌配子 | text | (175,192) | ~30×14 | - | "Xᴬ" 蓝色 |
| 雄配子1 | text | (405,192) | ~30×14 | - | "Xᵃ" 红色 |
| 雄配子2 | text | (445,192) | ~20×14 | - | "Y" |
| F₁雌框 | rect | (125,220)-(225,265) | 100×45 | - | stroke=#333 |
| F₁雌基因型 | text | (175,238) | ~50×14 | 框内 | "XᴬXᵃ" |
| F₁雌表现型 | text | (175,256) | ~40×14 | 框内偏下 | "直♀" 蓝色 |
| F₁雄框 | rect | (375,220)-(475,265) | 100×45 | - | stroke=#333 |
| F₁雄基因型 | text | (425,238) | ~50×14 | 框内 | "XᴬY" |
| F₁雄表现型 | text | (425,256) | ~40×14 | 框内偏下 | "直♂" 蓝色 |
| F₁交配指示 | text | (300,285) | ~100×12 | - | "↓ F₁随机交配" 灰色 |
| F₁交雌 | text | (175,320) | ~80×14 | - | "XᴬXᵃ 直♀" |
| F₁交雄 | text | (425,320) | ~80×14 | - | "XᴬY 直♂" |
| F₁交符号 | text | (300,320) | ~16×16 | - | "×" |
| F₂棋盘格外框 | rect | (210,345)-(430,425) | 220×80 | - | stroke=#888 |
| 棋盘竖线 | line | (320,345)-(320,425) | - | - | stroke=#888 |
| 棋盘横线 | line | (210,385)-(430,385) | - | - | stroke=#888 |
| 雌配子表头1 | text | (270,340) | ~30×14 | - | "Xᴬ" 蓝色 |
| 雌配子表头2 | text | (370,340) | ~30×14 | - | "Xᵃ" 红色 |
| 雄配子表头1 | text | (195,365) | ~30×14 | - | "Xᴬ" 蓝色 |
| 雄配子表头2 | text | (195,405) | ~20×14 | - | "Y" |
| 左上格基因型 | text | (265,365) | ~50×14 | - | "XᴬXᴬ" |
| 左上格表现型 | text | (265,380) | ~40×14 | - | "直♀" 蓝色 |
| 右上格基因型 | text | (375,365) | ~50×14 | - | "XᴬXᵃ" |
| 右上格表现型 | text | (375,380) | ~40×14 | - | "直♀" 蓝色 |
| 左下格基因型 | text | (265,405) | ~50×14 | - | "XᴬY" |
| 左下格表现型 | text | (265,420) | ~40×14 | - | "直♂" 蓝色 |
| 右下格基因型 | text | (375,405) | ~50×14 | - | "XᵃY" |
| 右下格表现型 | text | (375,420) | ~40×14 | - | "卷♂" 红色 |
| 比例高亮框 | rect | (140,435)-(460,467) | 320×32 | - | fill=#2e7d32, opacity=0.15 |
| 比例文本 | text | (300,455) | ~220×16 | - | "直♀ : 直♂ : 卷♂ = 2 : 1 : 1" 绿色加粗 |

步骤3（假说三：常染色体显性）：
| 元素 | 类型 | 位置/范围 | 大小 | 标签偏移 | 备注 |
| 假说标题 | text | (300,78) | ~220×18 | 居中 | "假说三：常染色体显性突变" |
| 假说副标题 | text | (300,100) | ~220×14 | 居中 | 12px灰色 |
| P雌框 | rect | (125,122)-(225,160) | 100×38 | - | stroke=#333 |
| P雌基因型 | text | (175,142) | ~30×14 | 框内 | "aa" |
| P雌表现型 | text | (175,168) | ~60×14 | 框下方 | "直♀" |
| P雄框 | rect | (375,122)-(475,160) | 100×38 | - | stroke=#333 |
| P雄基因型 | text | (425,142) | ~30×14 | 框内 | "Aa" 红色 |
| P雄表现型 | text | (425,168) | ~60×14 | 框下方 | "卷♂" 红色 |
| 雌配子 | text | (175,198) | ~20×14 | - | "a" |
| 雄配子1 | text | (405,198) | ~20×14 | - | "A" 红色 |
| 雄配子2 | text | (445,198) | ~20×14 | - | "a" |
| F₁框1 | rect | (125,232)-(225,282) | 100×50 | - | fill=#ffebee, stroke=#c62828 |
| F₁基因型1 | text | (175,248) | ~30×14 | 框内 | "Aa" |
| F₁表现型1 | text | (175,266) | ~70×14 | 框内偏下 | "卷♀/♂" 红色 |
| F₁框2 | rect | (375,232)-(475,282) | 100×50 | - | stroke=#333 |
| F₁基因型2 | text | (425,248) | ~30×14 | 框内 | "aa" |
| F₁表现型2 | text | (425,266) | ~70×14 | 框内偏下 | "直♀/♂" |
| F₁比例1 | text | (175,295) | ~30×12 | - | "1/2" |
| F₁比例2 | text | (425,295) | ~30×12 | - | "1/2" |
| 矛盾文本 | text | (300,330) | ~260×14 | 居中 | "F₁出现卷刚毛，与'F₁全直'矛盾！" 红色 |
| 大叉号 | text | (300,370) | ~60×60 | 居中 | "✗" 60px红色 |

步骤4（假说四：常染色体隐性）：
| 元素 | 类型 | 位置/范围 | 大小 | 标签偏移 | 备注 |
| 假说标题 | text | (300,78) | ~220×18 | 居中 | "假说四：常染色体隐性突变" |
| 假说副标题 | text | (300,100) | ~220×14 | 居中 | 12px灰色 |
| P雌框 | rect | (125,120)-(225,158) | 100×38 | - | stroke=#333 |
| P雌基因型 | text | (175,140) | ~30×14 | 框内 | "AA" 蓝色 |
| P雌表现型 | text | (175,166) | ~40×14 | 框下方 | "直♀" |
| P雄框 | rect | (375,120)-(475,158) | 100×38 | - | stroke=#333 |
| P雄基因型 | text | (425,140) | ~30×14 | 框内 | "aa" 红色 |
| P雄表现型 | text | (425,166) | ~40×14 | 框下方 | "卷♂" 红色 |
| 雌配子 | text | (175,192) | ~20×14 | - | "A" 蓝色 |
| 雄配子 | text | (425,192) | ~20×14 | - | "a" 红色 |
| F₁框 | rect | (250,220)-(350,265) | 100×45 | - | stroke=#333 |
| F₁基因型 | text | (300,238) | ~30×14 | 框内 | "Aa" |
| F₁表现型 | text | (300,256) | ~80×14 | 框内偏下 | "全直♀/♂" 蓝色 |
| F₁交配指示 | text | (300,285) | ~100×12 | - | "↓ F₁随机交配" 灰色 |
| F₁交配式 | text | (300,310) | ~80×14 | - | "Aa × Aa" |
| F₂棋盘格外框 | rect | (210,345)-(430,425) | 220×80 | - | stroke=#888 |
| 棋盘竖线 | line | (320,345)-(320,425) | - | - | stroke=#888 |
| 棋盘横线 | line | (210,385)-(430,385) | - | - | stroke=#888 |
| 雌配子表头1 | text | (270,340) | ~20×14 | - | "A" |
| 雌配子表头2 | text | (370,340) | ~20×14 | - | "a" |
| 雄配子表头1 | text | (195,365) | ~20×14 | - | "A" |
| 雄配子表头2 | text | (195,405) | ~20×14 | - | "a" |
| 左上格 | text | (265,365/380) | ~50×28 | - | "Aa"/"直♀♂" |
| 右上格 | text | (375,365/380) | ~50×28 | - | "Aa"/"直♀♂" |
| 左下格 | text | (265,405/420) | ~50×28 | - | "Aa"/"直♀♂" |
| 右下格 | text | (375,405/420) | ~50×28 | - | "aa"/"卷♀♂" 红色 |
| 比例文本 | text | (300,430) | ~140×14 | - | "直♀♂ : 卷♀♂ = 3 : 1" |
| 矛盾文本 | text | (300,450) | ~260×14 | - | "雌性出现卷刚毛，且比例不为2:1:1" 红色 |

步骤5（结论）：
| 元素 | 类型 | 位置/范围 | 大小 | 标签偏移 | 备注 |
| 结论大标题 | text | (300,95) | ~100×26 | 居中 | "结论" 22px绿色加粗 |
| 正确假说框 | rect | (100,140)-(500,270) | 400×130 | - | fill=#2e7d32, opacity=0.12, 圆角8px |
| 正确假说标题 | text | (300,180) | ~220×20 | 框内居中 | "假说二：X染色体隐性突变" 绿色加粗 |
| 正确假说说明 | text | (300,210) | ~280×14 | 框内 | "卷刚毛为隐性性状，基因位于X染色体非同源区段" |
| 正确假说P式 | text | (300,240) | ~140×14 | 框内 | "P：XᴬXᴬ × XᵃY" |
| 正确假说F₂ | text | (300,260) | ~200×14 | 框内 | "F₂：直♀ : 直♂ : 卷♂ = 2 : 1 : 1" 蓝色 |
| 吻合说明1 | text | (300,320) | ~220×14 | - | "该假说与题目所有条件完全吻合" 绿色 |
| 吻合说明2 | text | (300,345) | ~160×14 | - | "→ F₁全为直刚毛" |
| 吻合说明3 | text | (300,365) | ~180×14 | - | "→ F₂比例符合2:1:1" |
| 吻合说明4 | text | (300,385) | ~200×14 | - | "→ 卷刚毛仅出现在雄性" |
| 右侧总结标题 | text | (684,95) | ~100×16 | 居中 | "四种假说总结" |
| 右侧假说一 | text | (684,152) | ~60×40 | - | "假说一"/"X显性"/"✗" 红色 |
| 右侧假说二 | text | (684,222) | ~60×50 | - | "假说二"/"X隐性"/"✓" 绿色加粗，背景高亮 |
| 右侧假说三 | text | (684,292) | ~60×40 | - | "假说三"/"常显"/"✗" 红色 |
| 右侧假说四 | text | (684,362) | ~60×40 | - | "假说四"/"常隐"/"✗" 红色 |

[视觉元素清单]
- 几何形状：矩形（亲本框、子代框、棋盘格外框、高亮框）、直线（箭头、棋盘格线）、圆形（步骤指示器）
- 文本标签：基因型（XᴬXᴬ、XᵃY、Aa等）、表现型（直刚毛、卷刚毛）、性别符号（♀、♂）、世代符号（P、F₁、F₂）、比例数值、判定标记（✓、✗）
- 箭头：从亲本指向配子、从配子指向子代、从F₁指向F₂，使用SVG marker-end定义箭头
- 配色规则（严格沿用）：
  - 背景 #ffffff
  - 主线/边框 #000000：外框线、世代符号、性别符号、杂交符号
  - 蓝高亮 #1565c0：直刚毛表现型、显性基因A、正确结果、步骤指示器当前状态
  - 红高亮 #c62828：卷刚毛表现型、隐性基因a、错误结果、✗标记、矛盾高亮框
  - 绿高亮 #2e7d32：✓标记、结论文字、正确假说背景框（opacity=0.15）、最终比例汇总
  - 辅助线 #888888：棋盘格内线、配子与子代之间的虚线引导线
  - 浅灰背景 #f8f9fa：顶部条件栏
  - 错误背景 #c62828 opacity=0.1：矛盾点高亮框
  - 正确背景 #2e7d32 opacity=0.15：正确比例汇总框

[分步序列]
- 步骤0（初始状态）：显示题目已知条件。顶部条件栏完整展示，中央显示P(直♀×卷♂)→F₁全直→随机交配→F₂三表现型框(直♀/直♂/卷♂)及比例2:1:1。右侧判定栏显示提示"请依次验证四种假说"。底部步骤指示器第0个圆点为蓝色。
- 步骤1（假说一）：点击「下一步」。步骤0内容隐藏，显示假说一图解。P: XᵃXᵃ(直♀) × XᴬY(卷♂)，F₁出现XᴬXᵃ(卷♀)与XᵃY(直♂)。高亮卷♀为红色，标注"与'F₁全直'矛盾！"及大叉号✗。右侧判定栏显示✗及原因。指示器第1个圆点蓝色。
- 步骤2（假说二）：点击「下一步」。显示假说二完整图解。P: XᴬXᴬ(直♀) × XᵃY(卷♂)→F₁全直→F₁随机交配棋盘格→F₂四种基因型及表现型。汇总比例2:1:1用绿色高亮框包围。右侧判定栏显示✓及"完全吻合"。指示器第2个圆点蓝色。
- 步骤3（假说三）：点击「下一步」。显示假说三图解。P: aa(直♀) × Aa(卷♂)→F₁即出现1/2 Aa(卷)。高亮卷刚毛为红色，标注矛盾及大叉号✗。右侧判定栏显示✗。指示器第3个圆点蓝色。
- 步骤4（假说四）：点击「下一步」。显示假说四图解。P: AA(直♀) × aa(卷♂)→F₁全直→F₁随机交配→F₂棋盘格3:1，但雌雄均有卷刚毛。标注"雌性出现卷刚毛，且比例不为2:1:1"红色。右侧判定栏显示✗。指示器第4个圆点蓝色。
- 步骤5（结论）：点击「下一步」。中央显示大标题"结论"及绿色高亮框包围的正确假说。右侧判定栏改为四种假说总结列表，假说二高亮显示✓。指示器第5个圆点蓝色。
- 回退机制：教师可随时点击「上一步」回退到任意步骤重新讲解对比。

[标签冲突检查]
步骤0内部检查：
- "题目条件"(300,82) 与 P标签(55,140)：距离>100px，无冲突。
- 雌框文字(170,143) 与 雄框文字(430,143)：水平间距260px，无冲突。
- F₂三框中心间距155px（框宽130+间隙25），文字在框内，无冲突。
- 汇总比例(300,405) 与 F₂框底(370)：间距35px，无冲突。

步骤1内部检查：
- 假说标题(300,78) 与 副标题(300,100)：垂直间距22px，无冲突。
- P雌基因型(175,142) 与 P雌表现型(175,168)：垂直间距26px，无冲突。
- P雌表现型(175,168) 与 雌配子(175,195)：垂直间距27px，无冲突。
- F₁雌基因型(175,240) 与 F₁雌表现型(175,258)：垂直间距18px，略紧凑但可接受（同框内）。调整为(175,238)与(175,258)，间距20px，OK。
- F₁雌表现型(175,258) 与 矛盾文本(175,288)：垂直间距30px，无冲突。
- 矛盾文本(175,288) 与 大叉号(300,330)：水平间距125px，无冲突。
- 雄侧各标签与雌侧对称，间距足够。

步骤2内部检查（最密集）：
- P雌表现型(175,166) 与 雌配子(175,192)：垂直间距26px，OK。
- 雌配子(175,192) 与 F₁雌基因型(175,238)：垂直间距46px，OK。
- F₁雌表现型(175,256) 与 F₁交雌(175,320)：垂直间距64px，OK。
- F₁交配指示(300,285) 与 F₁交雌(175,320)：垂直间距35px，OK。
- F₁交雌(175,320) 与 棋盘表头(270,340)：垂直间距20px，OK。
- 棋盘表头(270,340) 与 格内基因型(265,365)：垂直间距25px，OK。
- 格内基因型(265,365) 与 格内表现型(265,380)：垂直间距15px，同格紧凑显示，OK。
- 格内表现型(265,380) 与 下格基因型(265,405)：垂直间距25px，OK。
- 棋盘底(425) 与 比例框顶(435)：间距10px，紧凑。比例框高32，文本在(300,455)，距框顶20px居中，OK。
- 左右侧格子文本水平间距：左格x=265，右格x=375，差110px（格子宽110），无重叠。

步骤3内部检查：
- F₁表现型1(175,266) 与 F₁比例1(175,295)：垂直间距29px，OK。
- F₁比例1(175,295) 与 矛盾文本(300,330)：距离足够，OK。
- 矛盾文本(300,330) 与 大叉号(300,370)：垂直间距40px，OK。

步骤4内部检查：
- F₁表现型(300,256) 与 F₁交配指示(300,285)：垂直间距29px，OK。
- F₁交配式(300,310) 与 棋盘表头(270,340)：垂直间距30px，OK。
- 棋盘表现型(375,420) 与 比例文本(300,430)：垂直间距10px，水平差75px，OK。
- 比例文本(300,430) 与 矛盾文本(300,450)：垂直间距20px，OK。

步骤5内部检查：
- 结论标题(300,95) 与 正确假说框顶(140)：间距45px，OK。
- 框内标题(300,180) 与 说明(300,210)：垂直间距30px，OK。
- 框内说明(300,210) 与 P式(300,240)：垂直间距30px，OK。
- 框底(270) 与 吻合说明1(300,320)：间距50px，OK。
- 右侧四个假说列表项垂直间距约70px，无冲突。

跨区检查（所有步骤）：
- 左侧主图解区最右元素通常x<530，右侧判定栏最左x=588，水平间隙≥58px，无重叠。
- 主图解区最下元素通常y<470，底部控件区y=440起，但主图解区在y=430处结束（除步骤4矛盾文本y=450）。步骤4矛盾文本(300,450)位于中央，右侧判定栏x>588，底部控件文本在y=485，垂直间距35px，无重叠。步骤4中矛盾文本上方有比例文本(300,430)，垂直间距20px，OK。

[交互方案]
- 交互类型：分步按钮导航（◀上一步 / 下一步▶）
- 控件说明：
  1. 「◀ 上一步」按钮：位置(140,450)，宽85×高34。点击后currentStep减1（不小于0），切换显示对应步骤的SVG分组，更新步骤指示器和按钮禁用状态。
  2. 「下一步 ▶」按钮：位置(575,450)，宽85×高34。点击后currentStep加1（不大于5），切换显示对应步骤的SVG分组，更新步骤指示器和按钮禁用状态。
  3. 步骤指示器圆点：6个圆点位于x=340/365/390/415/440/465, y=460，半径6px。当前步骤圆点fill=#1565c0，其他fill=#cccccc。圆点下方有文字标签（条件/假说1/假说2/假说3/假说4/结论）。教师可直接点击圆点跳转到对应步骤。
- 教师操作流程：
  1. 课堂开始时，步骤0展示题目条件，教师引导学生明确已知和目标比例。
  2. 点击「下一步」进入假说一，教师讲解X显性突变的推演，学生发现F₁矛盾，教师点击「下一步」继续。
  3. 进入假说二，教师带领学生完成完整棋盘格，验证比例2:1:1，标记为正确。
  4. 依次验证假说三、四，均标记为错误。
  5. 进入结论步骤，总结正确假说。若学生有疑问，教师可随时点击「上一步」或圆点回退到任意假说重新讲解。

[技术实现]
- JS库选择：原生SVG + 原生JavaScript。理由：本场景为静态遗传图解的分步切换，无复杂动画、函数绘图或3D需求，原生SVG足以精确控制几何图形和文本布局，避免引入不必要的库体积。
- 画布尺寸：800 × 500 px（固定）
- 布局草图：
  ```
  +--------------------------------------------------+
  | [顶部条件栏 10,5-790,57] 主题+已知条件            |
  +--------------------------------------------------+
  |                                                  |
  |  [主图解区 40,65-560,430]      | [判定栏 588,72-780,428] |
  |  遗传图解/棋盘格/矛盾标注       | 目标比例/判定/原因      |
  |                                |                         |
  |                                |                         |
  +--------------------------------------------------+
  | [底部控件栏 0,440-800,490]  ◀上一步  ●●●●●●  下一步▶  |
  +--------------------------------------------------+
  ```
- 关键实现要点：
  1. 状态机设计：使用变量 `let currentStep = 0;` 记录当前步骤（0~5）。每个步骤对应一个SVG `<g>` 分组，id为 `scene1-step-0` 到 `scene1-step-5`。切换步骤时，隐藏所有分组，仅显示当前分组。
  2. 步骤切换函数 `showStep(n)`：先设置所有 `scene1-step-*` 的 `display='none'`，再设置 `scene1-step-${n}` 的 `display='block'`。同时更新步骤指示器圆点颜色、按钮禁用状态（步骤0时禁用上一步，步骤5时禁用下一步）、右侧判定栏内容。
  3. 右侧判定栏内容：由于各步骤右侧内容不同（步骤5为总结列表，其他为单一判定），可将右侧内容也分步骤分组，或使用JS动态更新文本内容。推荐方案：右侧判定栏的"本假说结果"、"判定标记"、"判定原因"使用JS动态修改textContent，步骤5时替换整个右侧内容为总结列表。
  4. 坐标计算：所有坐标已在布局坐标表中精确到像素，代码中直接使用绝对坐标，无需动态计算。
  5. 动画曲线：本场景为即时切换，无需CSS动画或JS动画。若需增强教学效果，可在步骤切换时添加100ms的淡入淡出（opacity过渡），但非必需。
  6. 事件绑定：为「上一步」「下一步」按钮及6个圆点绑定click事件。所有事件处理函数写在IIFE内部。
  7. 基因型上标处理：SVG中Xᴬ、Xᵃ使用 `<tspan>` 的 `baseline-shift="super"` 实现上标效果，确保A/a为上标。
- ID命名规范：
  - 步骤分组：`scene1-step-0` 到 `scene1-step-5`
  - 按钮：`scene1-btn-prev`、`scene1-btn-next`
  - 步骤指示器圆点：`scene1-dot-0` 到 `scene1-dot-5`
  - 右侧判定结果文本：`scene1-result-text`、`scene1-verdict-mark`、`scene1-verdict-reason`
  - 获取元素使用 `document.getElementById`，不使用 `querySelectorAll` 配合全局class，避免多场景合并时跨场景污染。
- IIFE隔离：所有JavaScript代码包裹在 `(function() { ... })();` 中，不污染全局命名空间。

</SCENE_VISION_STORYBOARD_AND_TECHNICAL_PLAN>
